ID,Session_timestamp,Level_timestamp,Event_type,Event,Details,epoch_time,Ruleset,win_or_quit,goals,impasses,time_offset
234,0:32:12:933,0:0:10:400,change,update,baba:11:2:0,1651523708933.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:12:933,0:0:10:400,input,right,,1651523708933.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:13:100,0:0:10:566,change,update,baba:12:2:0,1651523709100.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:13:100,0:0:10:566,input,right,,1651523709100.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:13:266,0:0:10:733,change,update,baba:13:2:0,1651523709266.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,166
234,0:32:13:266,0:0:10:733,input,right,,1651523709266.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:13:433,0:0:10:900,change,update,baba:14:2:0,1651523709433.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:13:433,0:0:10:900,input,right,,1651523709433.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:13:600,0:0:11:066,change,update,baba:15:2:0,1651523709600.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_2,167
234,0:32:13:600,0:0:11:066,input,right,,1651523709600.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:13:766,0:0:11:233,input,right,,1651523709766.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,166
234,0:32:14:166,0:0:11:633,input,right,,1651523710166.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,400
234,0:32:14:833,0:0:12:300,change,update,baba:15:2:3,1651523710833.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_2,667
234,0:32:14:833,0:0:12:300,input,down,,1651523710833.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:15:000,0:0:12:466,input,down,,1651523711000.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:15:416,0:0:12:883,change,update,baba:15:2:2,1651523711416.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,416
234,0:32:15:416,0:0:12:883,change,update,baba:14:2:2,1651523711416.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:15:416,0:0:12:883,input,left,,1651523711416.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:15:733,0:0:13:200,change,update,baba:13:2:2,1651523711733.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,317
234,0:32:15:733,0:0:13:200,input,left,,1651523711733.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:16:050,0:0:13:516,change,update,baba:12:2:2,1651523712050.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,317
234,0:32:16:050,0:0:13:516,input,left,,1651523712050.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:16:350,0:0:13:816,change,update,baba:11:2:2,1651523712350.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,300
